Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,tmf_core,tmf_would_like_to_be,tmf_interests_seen_as,tmf_attitudes_seen_as,tmf_behaviour_seen_as,tmf_appearance_seen_as,sex,gender_identity,gender_text,sex_orientation,orient_text,ethnicity,disability,community_sss,national_sss,target,tmf_avg,tmf_label,sss_avg
6,3,4,1,5,1,3,597e220e30b1d90001f5f14a,cYszuGaptkk,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0,mix,5.0,resolutely feminine,1.5
6,2,4,2,1,1,1,5c9c7cc072bf7f0017b6b798,VIqv8YRVDuY,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,fem,2.0,resolutely masculine,7.0
4,3,2,2,3,1,2,5c9c7cc072bf7f0017b6b798,cYszuGaptkk,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,mix,2.0,resolutely masculine,7.0
5,3,2,1,5,4,5,597e220e30b1d90001f5f14a,HO-GyyhtDnA,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0,masc,5.0,resolutely feminine,1.5
6,6,2,1,2,2,1,5c9c7cc072bf7f0017b6b798,2-m3SEGs0kM,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,mix,2.0,resolutely masculine,7.0
6,5,6,4,5,1,5,5f15a35ae74deb1deeb0668b,VIqv8YRVDuY,21,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,5.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,5.0,fem,5.166666666666667,resolutely feminine,5.5
1,1,1,1,1,1,1,5b017ef1293d310001023bd8,cYszuGaptkk,67,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,mix,1.0,resolutely masculine,7.0
2,1,1,1,1,1,1,5b017ef1293d310001023bd8,2-m3SEGs0kM,67,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,mix,1.0,resolutely masculine,7.0
1,6,1,1,2,1,2,5d5f2fc82fce8e0019ca87c1,HO-GyyhtDnA,24,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,4.0,4.0,5.0,6.0,Female,Woman,,Bisexual,,White,Yes,5.0,6.0,masc,4.833333333333333,resolutely feminine,5.5
6,1,3,1,2,1,1,5d5f2fc82fce8e0019ca87c1,VIqv8YRVDuY,24,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,4.0,4.0,5.0,6.0,Female,Woman,,Bisexual,,White,Yes,5.0,6.0,fem,4.833333333333333,resolutely feminine,5.5
6,6,2,1,4,2,2,597e220e30b1d90001f5f14a,2-m3SEGs0kM,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0,mix,5.0,resolutely feminine,1.5
4,4,2,1,3,1,1,5c9c7cc072bf7f0017b6b798,HO-GyyhtDnA,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,masc,2.0,resolutely masculine,7.0
6,2,6,5,3,1,3,597e220e30b1d90001f5f14a,VIqv8YRVDuY,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0,fem,5.0,resolutely feminine,1.5
6,5,6,5,4,1,4,5f15a35ae74deb1deeb0668b,pdzliNhlqWI,21,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,5.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,5.0,fem,5.166666666666667,resolutely feminine,5.5
4,3,3,3,3,2,3,5c9034a2eedbd9001573ca14,pdzliNhlqWI,57,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,3.0,3.0,3.0,3.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,Yes,7.0,8.0,fem,2.6666666666666665,neither nor,7.5
7,7,6,6,6,1,4,5e130b3f54e2f09436f73393,2-m3SEGs0kM,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,4.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,9.0,7.0,mix,4.333333333333333,neither nor,8.0
4,5,1,1,3,1,4,5e130b3f54e2f09436f73393,Zl-50U1tsBM,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,4.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,9.0,7.0,masc,4.333333333333333,neither nor,8.0
5,4,4,1,6,2,2,5ff6e8dc5da4c728c5494d60,HO-GyyhtDnA,45,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,6.0,masc,5.0,resolutely feminine,6.0
1,1,1,1,1,2,1,5b017ef1293d310001023bd8,HO-GyyhtDnA,67,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,masc,1.0,resolutely masculine,7.0
2,2,1,3,1,1,1,5b017ef1293d310001023bd8,VIqv8YRVDuY,67,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,fem,1.0,resolutely masculine,7.0
3,3,3,2,2,1,1,5e130b3f54e2f09436f73393,VIqv8YRVDuY,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,4.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,9.0,7.0,fem,4.333333333333333,neither nor,8.0
7,4,7,5,7,1,4,5f383c7bbd56880ee4aff419,VIqv8YRVDuY,36,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,4.0,5.0,4.0,4.0,3.0,3.0,Female,Woman,,I prefer to self-describe as,demisexual,White,Yes,2.0,2.0,fem,3.8333333333333335,neither nor,2.0
4,1,1,1,7,4,4,5f383c7bbd56880ee4aff419,Zl-50U1tsBM,36,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,4.0,5.0,4.0,4.0,3.0,3.0,Female,Woman,,I prefer to self-describe as,demisexual,White,Yes,2.0,2.0,masc,3.8333333333333335,neither nor,2.0
1,1,1,1,2,3,1,5b017ef1293d310001023bd8,Zl-50U1tsBM,67,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,masc,1.0,resolutely masculine,7.0
1,1,1,4,1,1,1,5e130b3f54e2f09436f73393,cYszuGaptkk,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,4.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,9.0,7.0,mix,4.333333333333333,neither nor,8.0
1,1,1,2,2,2,2,5b2a3000a29ccd0001154e8c,Zl-50U1tsBM,35,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,No,United Kingdom,Female,No,6.0,6.0,3.0,4.0,5.0,5.0,Female,Woman,,Heterosexual (straight),,White,Yes,3.0,4.0,masc,4.833333333333333,resolutely feminine,3.5
6,6,1,1,5,1,3,5ea986542bd79508d1d3cd7e,cYszuGaptkk,26,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,4.0,5.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,5.0,mix,5.166666666666667,resolutely feminine,5.5
7,6,6,6,6,1,1,615dc9a9d61ae634ede50ebb,pdzliNhlqWI,22,United Kingdom,United Kingdom,Scotland,Due to start a new job within the next month,English,No,United Kingdom,Female,Yes,5.0,6.0,4.0,4.0,6.0,5.0,Female,Woman,,Bisexual,,White,Yes,5.0,6.0,fem,5.0,resolutely feminine,5.5
5,7,4,5,6,3,4,615dc9a9d61ae634ede50ebb,2-m3SEGs0kM,22,United Kingdom,United Kingdom,Scotland,Due to start a new job within the next month,English,No,United Kingdom,Female,Yes,5.0,6.0,4.0,4.0,6.0,5.0,Female,Woman,,Bisexual,,White,Yes,5.0,6.0,mix,5.0,resolutely feminine,5.5
5,1,3,4,2,1,1,5a9adf93dbdb470001eee5e1,VIqv8YRVDuY,49,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,English,No,United Kingdom,Female,No,5.0,4.0,5.0,4.0,4.0,5.0,Female,Woman,,Heterosexual (straight),,White,No,9.0,7.0,fem,4.5,neither nor,8.0
3,3,3,2,2,1,1,5fb93f3349adcb75d64045d1,VIqv8YRVDuY,23,United Kingdom,United Kingdom,"London, England ",Unemployed (and job seeking),English,No,United Kingdom,Female,No,4.0,4.0,4.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0,fem,4.666666666666667,resolutely feminine,3.0
6,5,6,4,3,1,1,601ecf037d641438c0840330,pdzliNhlqWI,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Other,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,6.0,Female,I prefer not to answer,,Heterosexual (straight),,White,No,3.0,3.0,fem,4.666666666666667,resolutely feminine,3.0
4,4,4,2,2,1,2,5fb93f3349adcb75d64045d1,pdzliNhlqWI,23,United Kingdom,United Kingdom,"London, England ",Unemployed (and job seeking),English,No,United Kingdom,Female,No,4.0,4.0,4.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0,fem,4.666666666666667,resolutely feminine,3.0
5,4,3,3,3,2,1,5b2a3000a29ccd0001154e8c,pdzliNhlqWI,35,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,No,United Kingdom,Female,No,6.0,6.0,3.0,4.0,5.0,5.0,Female,Woman,,Heterosexual (straight),,White,Yes,3.0,4.0,fem,4.833333333333333,resolutely feminine,3.5
3,3,1,1,2,1,2,5fb93f3349adcb75d64045d1,cYszuGaptkk,23,United Kingdom,United Kingdom,"London, England ",Unemployed (and job seeking),English,No,United Kingdom,Female,No,4.0,4.0,4.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0,mix,4.666666666666667,resolutely feminine,3.0
4,3,3,3,3,4,3,5c9034a2eedbd9001573ca14,2-m3SEGs0kM,57,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,3.0,3.0,3.0,3.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,Yes,7.0,8.0,mix,2.6666666666666665,neither nor,7.5
3,2,2,1,7,6,7,611d2cc49af322d296ac4117,Zl-50U1tsBM,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0,masc,5.5,resolutely feminine,7.5
5,1,3,1,7,1,7,611d2cc49af322d296ac4117,cYszuGaptkk,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0,mix,5.5,resolutely feminine,7.5
7,4,7,4,3,1,5,611d2cc49af322d296ac4117,pdzliNhlqWI,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0,fem,5.5,resolutely feminine,7.5
5,4,4,2,4,3,4,611d2cc49af322d296ac4117,2-m3SEGs0kM,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0,mix,5.5,resolutely feminine,7.5
4,2,1,2,2,1,2,5d5ee5dc742933001d8f3b4c,cYszuGaptkk,27,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,Yes,6.0,6.0,4.0,4.0,4.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,3.0,mix,5.166666666666667,resolutely feminine,4.0
7,2,7,2,4,1,5,611d2cc49af322d296ac4117,VIqv8YRVDuY,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0,fem,5.5,resolutely feminine,7.5
5,2,3,1,7,5,7,611d2cc49af322d296ac4117,HO-GyyhtDnA,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,5.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0,masc,5.5,resolutely feminine,7.5
5,2,3,2,5,1,3,5f0dab228f4b5d000bf1a31d,pdzliNhlqWI,30,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,3.0,3.0,fem,1.0,resolutely masculine,3.0
7,1,6,5,7,1,6,611a665e428e9a57ba0de804,VIqv8YRVDuY,19,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,3.0,1.0,3.0,1.0,Male,Man,,Bisexual,,White,No,7.0,6.0,fem,1.6666666666666667,resolutely masculine,6.5
2,2,2,2,2,1,2,5ef7d6c359b38851de122110,2-m3SEGs0kM,24,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,Yes,4.0,2.0,3.0,3.0,4.0,3.0,Male,Man,,Homosexual (lesbian or gay),,Multiple ethnic groups,Yes,6.0,7.0,mix,3.1666666666666665,neither nor,6.5
3,2,2,1,3,4,2,5e1f7b5450f6aa0122fcef8b,HO-GyyhtDnA,35,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,6.0,4.0,4.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,3.0,masc,5.0,resolutely feminine,4.0
7,1,4,2,7,1,7,611a665e428e9a57ba0de804,Zl-50U1tsBM,19,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,3.0,1.0,3.0,1.0,Male,Man,,Bisexual,,White,No,7.0,6.0,masc,1.6666666666666667,resolutely masculine,6.5
7,6,7,7,7,1,5,61f2ae4aa09e72f23cbafa9a,2-m3SEGs0kM,22,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,English,No,United Kingdom,Female,Yes,4.0,5.0,3.0,4.0,3.0,4.0,Female,Woman,,Heterosexual (straight),,Asian,No,5.0,3.0,mix,3.8333333333333335,neither nor,4.0
4,4,4,2,5,2,3,614da66d7f267237bf6d05e6,cYszuGaptkk,62,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,3.0,3.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,8.0,8.0,mix,2.333333333333333,resolutely masculine,8.0
2,1,1,1,5,6,6,5c5432c098016d0001541ef7,Zl-50U1tsBM,72,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,1.0,1.0,2.0,2.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,6.0,7.0,masc,1.3333333333333333,resolutely masculine,6.5
6,1,1,1,7,3,2,611a665e428e9a57ba0de804,2-m3SEGs0kM,19,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,3.0,1.0,3.0,1.0,Male,Man,,Bisexual,,White,No,7.0,6.0,mix,1.6666666666666667,resolutely masculine,6.5
6,2,3,3,2,1,5,5aae8f78811b2000016f7c7b,pdzliNhlqWI,53,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,6.0,6.0,6.0,6.0,6.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,5.0,fem,6.0,resolutely feminine,5.0
4,5,2,2,5,2,3,602bebe42e34a23d1d0f72a3,cYszuGaptkk,55,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,English,No,United Kingdom,Female,No,4.0,4.0,5.0,3.0,4.0,3.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,6.0,mix,3.8333333333333335,neither nor,6.0
7,5,5,4,4,1,1,5d9e1929203419001625df07,VIqv8YRVDuY,49,United Kingdom,United Kingdom,Wales,DATA EXPIRED,English,No,United Kingdom,Male,DATA EXPIRED,1.0,1.0,1.0,1.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,fem,1.3333333333333333,resolutely masculine,7.0
4,3,3,3,3,1,2,5e1f7b5450f6aa0122fcef8b,VIqv8YRVDuY,35,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,6.0,4.0,4.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,3.0,fem,5.0,resolutely feminine,4.0
6,2,7,6,7,2,6,61f2ae4aa09e72f23cbafa9a,Zl-50U1tsBM,22,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,English,No,United Kingdom,Female,Yes,4.0,5.0,3.0,4.0,3.0,4.0,Female,Woman,,Heterosexual (straight),,Asian,No,5.0,3.0,masc,3.8333333333333335,neither nor,4.0
7,5,4,2,5,1,1,5c5432c098016d0001541ef7,2-m3SEGs0kM,72,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,1.0,1.0,2.0,2.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,6.0,7.0,mix,1.3333333333333333,resolutely masculine,6.5
