Electric_Acoustic,Distorted_Clear,Many_FewInstruments,Loud_Soft,Heavy_Light,High pitch_Low pitch,Wide_Narrow_pitch_variation,Punchy_Smooth,Harmonious_Disharmonious,Clear_NoMelody,Repetitive_NonRepetitive,Complex_SimpleRhythm,Fast_SlowTempo,Dense_Sparse,Strong_WeakBeat,prolific_id,stimulus_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,Experience with musical instruments,First Language,Hearing difficulties,Nationality,Sex,Student Status,target
6,6,6,6,6,2,6,6,2,2,3,3,3,3,5,5f29ed73209c1b1a178602e3,pdzliNhlqWI,26,Nigeria,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,Nigeria,Male,Yes,fem
6,5,2,3,3,4,3,2,2,3,3,5,4,3,3,5fea2e6613597c51a166f24d,Zl-50U1tsBM,54,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
1,7,7,6,5,2,3,3,6,7,2,7,5,7,6,5beab62b2bb2960001c9b288,pdzliNhlqWI,57,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
7,6,2,6,6,4,2,6,2,3,2,3,3,5,6,5fc00a11268eb941e7d8b066,VIqv8YRVDuY,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Unemployed (and job seeking),Yes. For 5+ years.,English,No,United Kingdom,Male,Yes,fem
6,3,4,5,7,4,5,6,1,1,2,6,5,4,3,5fc00a11268eb941e7d8b066,pdzliNhlqWI,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Unemployed (and job seeking),Yes. For 5+ years.,English,No,United Kingdom,Male,Yes,fem
6,6,5,5,5,3,3,3,2,3,3,6,3,5,2,57a6891d8eccbc0001f39f89,2-m3SEGs0kM,50,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
3,2,5,3,2,3,3,4,3,3,6,5,3,2,3,5de0803843e90d0fcc462b13,Zl-50U1tsBM,28,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,Yes. For 5+ years.,English,No,United Kingdom,Male,Yes,masc
5,6,2,4,7,2,3,5,2,2,7,2,3,2,5,60b7be9f5e3d9290ded3bedf,VIqv8YRVDuY,31,Singapore,United Kingdom,Wales,Full-Time,Yes. For 5+ years.,English,No,Singapore,Female,DATA EXPIRED,fem
3,3,5,4,2,6,6,2,6,6,6,2,3,6,3,5de0803843e90d0fcc462b13,HO-GyyhtDnA,28,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,Yes. For 5+ years.,English,No,United Kingdom,Male,Yes,masc
7,6,2,5,2,4,2,4,1,2,4,3,3,2,2,60b7be9f5e3d9290ded3bedf,Zl-50U1tsBM,31,Singapore,United Kingdom,Wales,Full-Time,Yes. For 5+ years.,English,No,Singapore,Female,DATA EXPIRED,masc
5,3,3,6,5,4,3,6,3,3,5,2,5,2,4,60b7be9f5e3d9290ded3bedf,cYszuGaptkk,31,Singapore,United Kingdom,Wales,Full-Time,Yes. For 5+ years.,English,No,Singapore,Female,DATA EXPIRED,mix
3,3,2,3,3,3,3,3,2,2,3,2,2,3,2,5d4d9ea8c088850019ec5b32,VIqv8YRVDuY,46,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
2,5,6,4,4,4,5,3,4,5,3,5,4,3,4,5ebd495e39fb6f017b95054a,HO-GyyhtDnA,59,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,Ireland,Male,No,masc
2,3,5,3,2,6,7,2,6,7,2,5,3,1,2,608702d7661a76c56f62a02a,HO-GyyhtDnA,39,United Kingdom,United Kingdom,Wales,Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
6,6,2,4,6,2,5,6,2,2,3,3,3,3,4,60c114f1542c86cb1e3e7c86,2-m3SEGs0kM,26,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
2,2,4,2,2,5,3,3,5,5,5,6,4,2,3,6284049591dc2c6570e93482,HO-GyyhtDnA,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
1,5,3,4,6,4,3,3,3,3,3,3,4,4,4,60c114f1542c86cb1e3e7c86,VIqv8YRVDuY,26,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
2,5,6,3,3,4,2,3,2,2,3,6,2,5,2,611a634c7e0e602c9a6b3ad1,Zl-50U1tsBM,25,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
5,6,6,6,6,2,3,3,2,2,1,7,3,5,2,611a634c7e0e602c9a6b3ad1,2-m3SEGs0kM,25,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
6,7,5,3,7,3,4,2,2,1,1,6,3,6,2,5fea2e6613597c51a166f24d,2-m3SEGs0kM,54,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
5,5,5,4,5,4,4,3,3,3,2,7,3,5,2,5c4afb7234ee9300011cbbfc,2-m3SEGs0kM,70,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
5,6,5,6,5,5,5,3,2,2,2,3,5,5,3,5ba11949a896050001d50742,pdzliNhlqWI,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
6,6,7,5,7,2,6,6,4,3,2,6,3,6,4,5961076cee166f00019591bf,2-m3SEGs0kM,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
6,6,6,6,6,2,4,3,6,7,7,6,6,6,6,5961076cee166f00019591bf,cYszuGaptkk,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
6,4,4,6,4,6,6,2,5,3,6,2,4,4,2,60b7be9f5e3d9290ded3bedf,HO-GyyhtDnA,31,Singapore,United Kingdom,Wales,Full-Time,Yes. For 5+ years.,English,No,Singapore,Female,DATA EXPIRED,masc
2,2,5,4,3,5,5,2,4,4,6,6,6,6,6,601969ac51c0bc0556499ddd,Zl-50U1tsBM,51,United Kingdom,United Kingdom,Scotland,Unemployed (and job seeking),Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
4,4,4,4,4,4,4,3,4,4,4,6,4,6,4,601969ac51c0bc0556499ddd,cYszuGaptkk,51,United Kingdom,United Kingdom,Scotland,Unemployed (and job seeking),Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
4,7,6,7,7,4,7,5,3,3,2,6,4,5,6,601969ac51c0bc0556499ddd,2-m3SEGs0kM,51,United Kingdom,United Kingdom,Scotland,Unemployed (and job seeking),Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
7,7,1,2,7,4,7,1,1,1,7,7,4,2,1,5d432a9dfc19f8001a2964e7,pdzliNhlqWI,25,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
7,5,5,6,6,4,3,6,2,2,3,6,4,5,4,5b82e33f184f45000155f0ba,2-m3SEGs0kM,35,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
5,4,5,5,5,4,4,2,3,5,4,4,4,4,3,5b82e33f184f45000155f0ba,pdzliNhlqWI,35,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
2,2,4,2,2,6,4,3,7,7,4,4,3,3,6,5b82e33f184f45000155f0ba,HO-GyyhtDnA,35,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
4,6,6,6,7,3,3,5,3,5,6,1,3,6,6,6057810acf80d91784eb5b15,VIqv8YRVDuY,20,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Other,Yes. For 5+ years.,English,No,United Kingdom,Female,Yes,fem
5,5,3,5,3,3,3,2,3,3,3,3,2,3,3,5d4d9ea8c088850019ec5b32,2-m3SEGs0kM,46,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
3,6,6,6,6,4,5,4,3,3,3,6,4,4,4,5ebd495e39fb6f017b95054a,cYszuGaptkk,59,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,Ireland,Male,No,mix
5,3,5,3,2,5,3,2,5,5,5,5,5,5,5,5d4d9ea8c088850019ec5b32,cYszuGaptkk,46,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
4,5,6,4,5,4,3,4,4,7,7,7,4,7,7,5beab62b2bb2960001c9b288,VIqv8YRVDuY,57,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
6,6,6,6,6,2,3,6,2,2,3,5,4,5,6,5f29ed73209c1b1a178602e3,2-m3SEGs0kM,26,Nigeria,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,Nigeria,Male,Yes,mix
6,6,7,4,4,6,7,4,3,3,1,7,3,7,7,5beab62b2bb2960001c9b288,2-m3SEGs0kM,57,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
2,3,3,3,5,4,4,4,3,3,2,3,4,3,6,5c4afb7234ee9300011cbbfc,cYszuGaptkk,70,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
7,6,5,3,5,3,3,3,2,2,2,6,5,5,2,611a634c7e0e602c9a6b3ad1,pdzliNhlqWI,25,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
3,6,2,5,3,3,2,3,3,3,5,3,3,2,3,5f29ed73209c1b1a178602e3,Zl-50U1tsBM,26,Nigeria,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,Nigeria,Male,Yes,masc
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5beab62b2bb2960001c9b288,HO-GyyhtDnA,57,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
3,2,6,5,5,2,5,5,5,5,5,3,3,3,5,5f29ed73209c1b1a178602e3,cYszuGaptkk,26,Nigeria,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,Nigeria,Male,Yes,mix
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5beab62b2bb2960001c9b288,cYszuGaptkk,57,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
4,5,3,3,4,4,3,3,5,4,3,3,3,2,4,5c4afb7234ee9300011cbbfc,Zl-50U1tsBM,70,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
6,6,3,2,2,6,5,3,5,3,3,5,2,3,3,60c114f1542c86cb1e3e7c86,Zl-50U1tsBM,26,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
3,2,4,7,2,4,7,3,4,6,5,6,4,5,5,5fea2e6613597c51a166f24d,HO-GyyhtDnA,54,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
7,2,3,3,2,3,3,2,2,2,3,2,2,2,3,616823f4aacb6e9b1cde751c,Zl-50U1tsBM,19,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 3-4 years.,English,No,United Kingdom,Male,Yes,masc
3,5,5,4,5,3,4,3,4,4,4,3,4,6,3,5ea1950819664f04542a50bf,Zl-50U1tsBM,82,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
3,6,4,3,6,2,3,2,4,4,3,5,2,3,3,5b7924d8338a93000154ad21,cYszuGaptkk,34,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
2,3,3,1,1,5,3,2,5,5,3,3,3,3,3,5d4d9ea8c088850019ec5b32,HO-GyyhtDnA,46,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
3,5,6,6,5,6,6,2,3,6,2,5,6,5,2,608702d7661a76c56f62a02a,VIqv8YRVDuY,39,United Kingdom,United Kingdom,Wales,Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
2,3,3,3,2,5,3,3,5,5,5,3,3,3,3,5f29ed73209c1b1a178602e3,HO-GyyhtDnA,26,Nigeria,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,Nigeria,Male,Yes,masc
6,4,4,5,6,3,3,2,3,2,3,3,4,5,3,6284049591dc2c6570e93482,pdzliNhlqWI,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
5,5,2,5,4,4,3,5,3,3,3,3,3,3,4,60c114f1542c86cb1e3e7c86,cYszuGaptkk,26,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
3,3,4,6,5,5,2,2,2,3,3,2,3,2,4,6284049591dc2c6570e93482,VIqv8YRVDuY,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
4,3,3,6,4,3,3,5,6,6,4,5,3,2,6,611a634c7e0e602c9a6b3ad1,cYszuGaptkk,25,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
1,3,5,4,5,3,2,3,4,3,3,5,3,4,5,5c4afb7234ee9300011cbbfc,VIqv8YRVDuY,70,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
2,5,5,4,5,4,5,3,4,3,2,5,3,4,3,5c4afb7234ee9300011cbbfc,pdzliNhlqWI,70,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
7,7,6,7,7,3,1,4,2,1,3,7,2,5,1,5ba11949a896050001d50742,2-m3SEGs0kM,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
6,3,3,2,5,4,3,6,3,3,3,5,4,4,3,60c114f1542c86cb1e3e7c86,pdzliNhlqWI,26,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
2,2,4,3,3,4,5,2,4,5,2,4,2,3,3,5c4afb7234ee9300011cbbfc,HO-GyyhtDnA,70,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
2,2,7,3,2,6,6,3,6,6,6,6,4,2,6,5961076cee166f00019591bf,HO-GyyhtDnA,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
6,3,2,7,5,4,4,5,3,5,5,6,4,3,7,5fea2e6613597c51a166f24d,cYszuGaptkk,54,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
5,5,1,3,3,7,6,3,3,5,7,2,3,1,5,5ba11949a896050001d50742,Zl-50U1tsBM,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
6,6,7,6,6,3,5,3,4,4,4,5,3,4,3,5ea1950819664f04542a50bf,VIqv8YRVDuY,82,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
4,3,3,3,3,5,2,2,6,6,6,2,3,2,3,5961076cee166f00019591bf,Zl-50U1tsBM,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
6,6,7,3,6,3,5,3,3,2,3,3,3,5,5,5961076cee166f00019591bf,VIqv8YRVDuY,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
6,6,6,3,3,3,5,2,5,5,5,5,3,5,3,5961076cee166f00019591bf,pdzliNhlqWI,24,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
3,6,3,4,6,3,4,3,3,3,6,2,4,3,4,5fea2e6613597c51a166f24d,VIqv8YRVDuY,54,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
6,7,3,5,5,3,5,3,3,5,5,3,2,3,2,5ba11949a896050001d50742,cYszuGaptkk,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,mix
5,5,5,2,2,7,7,3,5,5,3,2,5,5,5,5ba11949a896050001d50742,HO-GyyhtDnA,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
2,4,3,4,5,3,3,5,3,2,2,6,4,3,6,5abc11e6e1099600016a3097,2-m3SEGs0kM,27,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
6,5,2,3,3,7,6,4,3,3,3,2,5,3,5,5bb0cc738f3bd70001e513e3,Zl-50U1tsBM,29,United Kingdom,United Kingdom,Scotland,Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
6,6,3,2,2,2,5,2,2,2,1,5,3,4,3,5bb0cc738f3bd70001e513e3,VIqv8YRVDuY,29,United Kingdom,United Kingdom,Scotland,Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,fem
4,5,4,5,5,3,3,4,2,2,3,5,4,3,5,5abc11e6e1099600016a3097,pdzliNhlqWI,27,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
