stimulus_id,all_genders,voice_type,voice_age,voice_gender,voice_exagg,title,description,upload_date,download
kEszobB-abk,There are no actors/presenters or you can never see their faces,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Smyths Toys - NERF N-Strike Elite Strongarm,"The NERF N-Strike Elite Strongarm blaster features rotating 10-dart barrel and a removable stock with storage for 10 extra darts. Hours of fun with this NERF N-Strike Elite Strongarm.
Get it at www.smythstoys.com/uk/en-gb/toys/construction-cars/nerf/c-957/nerf/p-947/nerf-n-strike-elite-strongarm/",20130531,True
_OzTx2Sushc,Boys/men,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Marvel Avengers: Infinity War Hulk Buster Ultimate Figure HQ Playset - Smyths Toys,"Imagine exciting Avengers: Infinity War action with the Hulkbuster Ultimate Figure HQ playset, featuring target tower, roto-blade launcher, zip line, and more! From the research lab to containment cell, to the control centre and towering trap claw, this playset lets kids imagine launching into adventure in the world of the Avengers!

From mega playset to mega figure! Close the Hulkbuster Ultimate Figure HQ to reveal an awesome Hulkbuster mega figure, or open up the HQ to reveal the multi-level playset! Kids can load the included projectiles and blast them into the scene, or use the containment cell to keep out-of-control super beings on lockdown. Want to see figures swoop into the battle? Hook up any Avengers: Infinity War 6-inch scale figure to included zip line let it go, and imagine it soaring into action! (Figures not included). For more Avengers action, Infinity Stones provide power-ups in the Hero Vision gameplay! (Hero Vision mask intended for ages 8 and up. Sold separately).

Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/avengers/marvel-avengers-infinity-war-hulk-buster-ultimate-figure-hq-playset/p/167907

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20180928,True
CpSWTA48JDQ,Girls/women,Spoken,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Bush Baby World Sleepy Pod- Smyths Toys,"NEW to the Bush Baby World collection is the Shimmies with pods! These adorable Bush Babies have sparkly eyes that wiggle and ears that waggle. They are made from super soft cuddly fabric with a glittery tummy and shimmering paws. They have a cute silver nose too! Each Bush Baby comes with a special shimmer pod; at night close the glittery star door to stay warm and cosy. The Pods also have a hanging stalk so you can hang them on the Dream Tree, New Shimmer Palace or anywhere you wish! There are 4 Shimmies to collect – Pearl, Maddi, Monti and Teena(Each sold separately).

Purchase product at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/bush-baby-world-sleepy-pod-pearl/p/167956002",20180803,True
x85TYyRIRwU,Girls/women,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Hatchimals Pixies Crystal Flyers - Smyths Toys,"Crystal Flyers are the first-ever Hatchimals Pixies that can really fly.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/hatchimals/hatchimals-toys/hatchimals-pixies-crystal-flyers-pink-magical-flying-pixie/p/188015

https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/hatchimals/hatchimals-toys/hatchimals-pixies-crystal-flyers-purple-magical-flying-pixie/p/188016

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200814,True
AB8ud4ogIvo,Girls/women,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,VIP Pet Assortment - Smyths Toys,"The VIP Pets are the most fashionable dogs with super long hair! There are 6 different characters with different personalities and hobbies.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/vip-pet-assortment/p/190612

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200812,True
WnkUUi5AwQo,Girls/women,Sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",So Slime Bubble Slime - Smyths Toys,"Now you can make amazing bubbles with the So Slime DIY Bubble Slime. Once you’ve made your bubble you can squash it and start again!
Buy online at https://www.smythstoys.com/uk/en-gb/toys/creativity-music-and-partyware/slime/so-slime-bubble-slime/p/170627
📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20190917,True
04YHrUko8yI,Boys/men,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Hot Wheels ID Race Portal - Smyths Toys,"Hot Wheels ID offers a whole new gaming experience in the real and digital worlds, turning driving enjoyment into a new, exciting adventure. Hot Wheels ID is a unique game world that combines the myriad of opportunities for stunning stunts and thrilling competitions with a secure, connected platform to let kids enjoy their experimentation and race.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/hot-wheels/hot-wheels-playsets/hot-wheels-id-race-portal/p/177235

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/hot-wheels/c/SM06010210

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20191017,True
TjHHKNWKMPE,There are no actors/presenters or you can never see their faces,Spoken,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Uncharted: Legacy Of Thieves Collection PS5 - Trailer - Smyths Toys,"Seek your fortune and leave your mark with the Uncharted: Legacy of Thieves Collection PS5 game. Uncover thrilling cinematic storytelling, high-octane action and fluid combat in 2 single player adventures: A Thief’s End and The Lost Legacy, remastered for immersive play on PlayStation 5.

Pre-order Uncharted: Legacy Of Thieves Collection PS5 at Smyths Toys Superstores NOW:

https://www.smythstoys.com/video-games-and-tablets/pre-order-games/playstation-5-pre-order-games/uncharted-legacy-of-thieves-collection-ps5/p/206738

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #uncharted #legacyofthieves #ps5",20211221,True
cvvhKy1PFn8,Mixed,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Crate Creatures KaBOOM - Smyths Toys,"Push the plunger, detonate your KaBOOM Box and watch your Crate Creature explode out of its crate!

You can buy Crate Creatures here: https://www.smythstoys.com/crate-creatures/c/crate-creatures

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #CrateCreatures",20190227,True
FhyVUb25Ilc,Boys/men,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,"Bakugan GeoForge Dragonoid, 7-in-1 Exclusive True Metal Dragonoid - Smyths Toys","Dominate the Bakugan arena with the epic GeoForge Dragonoid! The GeoForge Dragonoid features 6 exclusive individual Geogan, an exclusive True Metal die-cast Dragonoid, 6 ability cards, 2 BakuCores, a Gate-Card, and a character card.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/bakugan/bakugan-geoforge-dragonoid-7-in-1-exclusive-true-metal-dragonoid-and-6-geogan-bakugan-coll/p/198928

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/bakugan/c/SM06010109

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210921,True
gXO6upZqhNc,There are no actors/presenters or you can never see their faces,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Smyths Toys - Skylanders Swap Force,"Embark on an exciting new adventure with the Skylanders and the SWAP Force. For generations, the SWAP Force protected the volcano that replenishes Skylands magic. That is until an epic battle caught them in an eruption that blasted them apart, sent them to Earth and gave them the ability swap powers. Only you can mix and match their tops and bottoms, put them on the new Portal of Power and help save Skylands.

http://www.smythstoys.com/uk/en-gb/video-games-tablets/c-798/skylanders-swap-force/",20131018,True
Eej5_xQMdF0,Girls/women,BOTH spoken and sung,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Wild Science Perfume Factory - Smyths Toys,"Invent and blend your own secret formula perfumes for you and your friends with this Perfume Factory Set. You have 5 gift vials with pretty labels for friends, but keep the best in your beautiful Glass Atomizer Bottle, just for you. Create scented Ruby Crystal Pot Pourri ... and more. The Perfume Extraction part of the kit uses a large syringe as an accurate measuring and pressure producing filter pump. The 4 base perfumes represent the different ‘notes’ used in perfume design – the different notes being related to the volatility of the oil. With shaking and added pressure the volatile oils emulsify and go into suspension in water making an eau de parfum. Fine fibres are also removed by repeated pressure filtering – just as in a real lab.  

Buy online at https://www.smythstoys.com/uk/en-gb/wild-science/wild-science-perfume-factory/p/164972

Browse our range at https://www.smythstoys.com/uk/en-gb/wild-science/c/wild-science

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20180905,True
MzsYGbir9i4,Mixed,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Gooey Louie Board Game- Smyths Toys,"Get ready to 'pick' a winner when you go head to head with Gooey Louie.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/games-puzzles-and-books/board-games/children-s-board-games/gooey-louie-board-game/p/199638

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20211109,True
CNuIw1S2OMM,There are no actors/presenters or you can never see their faces,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Smyths Toys - Peppy Pups,"Peppy Pups Dalmatian
Peppy Pups Dalmatian will follow you wherever you go! See him bounce along the path behind you as you pull him along with his cute red leash! With soft fur and a cheerful face the Peppy Pups Dalmatian is sure to become a favourite companion!
Buy online at http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-512/soft-toys/p-19926/peppy-pups-dalmatian/

Peppy Pups - Pug
Peppy Pups loves to run, jump and play! The only plush dog who will really run along with you! With spring action legs, tails and head, so when it’s time for a walk, Peppy Pups will playfully bounce along beside you. Like all happy puppies they have a spring in their step and their tails waggle. They are super soft and fluffy so don’t forget to give them a cuddle!
Buy online at http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-512/soft-toys/p-22623/peppy-pups-pug/",20170209,True
c3lOglJbNMo,Girls/women,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,L.O.L. Surprise! O.M.G. Remix 4-in-1 Plane Playset - Smyths Toys,"B.B.s, this is your captain speaking, we are ready for takeoff! Travel in style in the L.O.L. Surprise! O.M.G. Remix 4-in-1 Plane. This transforming playset is 4-in-1: Plane, Car, Recording Studio and Mixing Booth. Unbox 50 surprises, including working lights and sounds, drink cart with plates and cups, rolling suitcases, overhead compartments that open and close, seatbelts and more!

Buy online https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/l-o-l-surprise-o-m-g-remix-4-in-1-plane-playset/p/189120

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/c/SM06010488

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201008,True
ZaWRrNOseg4,Mixed,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Smyths Toys - Teksta Micro-Pet,"Teksta Micro-Pet - Assortment
The Teksta Micro-Pets are miniature artificially intelligent and touch sensitive pets. Pet them to reward them. They love it! Each Pet will zoom around in different directions and makes realistic animal sounds with expressive, light up eyes. They even interact with your other Teksta Pets! There are 4 cool characters to collect including: Puppy, Kitty, Racoon and Dinosaur. (Each sold separately)
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/teksta-micro-pet-assortment/p/157410
Teksta Micro-Pets Adventure Park Playset
Design and build your own adventure track with this Teksta Micro-Pets Adventure Park Set. Watch your pets zoom around their adventure park! Call your pet or clap and they will start to walk! Each individual pet has its own extra feature to complete within its playset. The snap pieces can be configured in many different ways. Each Playset connects to each other via a snap mechanism, playset also converts in to a wheel. There are 4 cool characters plus playsets to collect including: Puppy, Kitty, Racoon and Dinosaur! Voice and sound interactive! (Each sold separately)
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/teksta-micro-pets-adventure-park-playset/p/157411",20170808,True
PjA-VYesTtw,Mixed,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Smyths Toys - Elly Fountain Game,"The Elly Fountain Game is an action game where you take it in turns to feed Elly. This little elephant can be naughty and might squirt you with water! If you get sprayed you are lucky and can take a splash token. The first to get 3 splash tokens is the winner! The Elly Fountain Game is hilarious fun for children!

http://www.smythstoys.com/uk/en-gb/toys/games-puzzles-books/c-564/childrens-board-games/p-13717/elly-fountain-game/",20150901,True
xNGvheoGSrE,Mixed,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Smyths Toys - Build a Bot Robo Pet,"Build a Bot Dino Robo Pet
Build, customize and play with your Build-a-bot Dino. You can even take it apart, reassemble it or mix and match with the other characters (sold separately, subject to availability). Comes with 20+ Dinosaur pieces, leaf food trigger, sticker sheet, build certificate and learning guide.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/build-a-bot-dino-robo-pet/p/165043

Build a Bot Bunny Robot Pet
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/build-a-bot-bunny-robot-pet/p/165044

Build a Bot Fox Robot Pet
https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/build-a-bot-fox-robot-pet/p/165045

Subscribe to the Smyths Toys Superstores YouTube channel: https://goo.gl/rAosm1

Official Smyths Toys Superstores website:  https://www.smythstoys.com/",20180119,True
nbUOQ6gAudo,Mixed,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Smyths Toys - Smackerz Assortment,"The Smack-tastic, Smack-erific and Smack-tacular new craze, Smackerz! Show off your tricks with the ultimate test of skill and coordination. Practice tricks on your own or battle against your friends to see who is the Ultimate Smackerz champion! Simply, move the handle up & down to get your Smackerz going! Mix and match your Smackerz and customise your style

Buy online at http://www.smythstoys.com/uk/en-gb/outdoor/c-664/garden-games-accessories/p-21351/smackerz-assortment/",20170217,True
n33_dTKSLTo,Boys/men,There are no voices,There are no voices,There are no voices,There are no voices,Jurassic World Dinosaur Track Set - Smyths Toys,"Get ready for thrilling action and adventure with Jurassic World! With the Jurassic World Dinosaur Track set, children can create their very own Jurassic World adventure.

Shop the Jurassic World Track Set here: https://www.smythstoys.com/toys/action-figures-and-playsets/jurassic-world/jurassic-world-dinosaur-track-set/p/189404

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #JurassicWorld",20210610,True
_mWQG-4Sc2U,Boys/men,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Smyths Toys Power Trains Deluxe Set,Just set up your train world and control your engine. Variety of ways to lay out the track and run the train set.Create the world you want.For more visit http://www.smythstoys.com,20120921,True
BooeikkiNKw,There are no actors/presenters or you can never see their faces,Sung,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Top PS5 Games - Smyths Toys,"Take a look at some of our favourite games released on PS5!

Demon's Souls: https://www.smythstoys.com/video-games-and-tablets/playstation-5/playstation-5-games/demon-s-souls-ps5/p/191454

Sackboy A Big Adventure: https://www.smythstoys.com/video-games-and-tablets/playstation-5/playstation-5-games/sackboy-a-big-adventure-ps5/p/191447

Marvel's Spider-Man: Miles Morales: https://www.smythstoys.com/video-games-and-tablets/video-games/marvel%E2%80%99s-spider-man-miles-morales/marvel-s-spider-man-miles-morales-ps5/p/191450

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #PS5 #PS5Games",20201215,True
weHJ1rLykgs,Boys/men,BOTH spoken and sung,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Smyths Toys - Phlat Ball V3 Fusion,"The Phlat Ball V3 Fusion is the original transforming disc-ball. If you throw it as a disc, you’ll catch a ball! This is like no other ball you’ve ever seen. This Phlat Ball V3 Fusion is a unique toy that easily transforms from a 9 inch flying disc to a 6 inch diameter ball when thrown. Its variable time-delay feature provides a surprise transformation, so you never know at what point in the throw it will change shape. This makes it a fun challenge to catch! Just lightly squeeze the ball form to transform it back into a disk again. The soft and flexible plastic material ensures comfortable contact when caught, making this disk-ball perfect for active play. Ergonomic indented grooves and ridges in the surface of the disc-ball provide players with an easy surface to grip. The Phlat Ball V3 Fusion pack includes game suggestions. Banish boredom completely with an endless variety of ways to play and hours of fun and action just waiting to be discovered. The Phlat Ball V3 Fusion is available in three awesome fusion colour combinations. Get your disc-ball in bright blue, yellow and red, cool purple, green and blue or fiery red, orange and yellow. Unfortunately, it is not possible to request which colour combination you would prefer online. One disc-ball and a set of game suggestions are supplied in each pack.

Buy online at https://www.smythstoys.com/uk/en-gb/outdoor/garden-games-and-accessories/phlat-ball-v3-fusion/p/133075",20170620,True
mae-_KQhQ60,Girls/women,BOTH spoken and sung,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,Cry Babies Magic Tears Winged House Assortment - Smyths Toys,"There are 12+ surprise dolls to collect, each with their own unique glittering design!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/cry-babies-magic-tears-winged-house-assortment/p/177477

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20191008,True
