Electric/Acoustic,Distorted/Clear,Many Instruments/Few Instruments,Loud/Soft,Heavy/Light,High pitch/Low pitch,Wide pitch variation/Narrow pitch variation,Punchy/Smooth,Harmonious/Disharmonious,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Dense/Sparse,Strong beat/Weak beat,prolific_id,stimulus_id
6,6,7,6,6,3,5,3,4,4,4,5,3,4,3,5ea1950819664f04542a50bf,VIqv8YRVDuY
4,3,3,3,3,5,2,2,6,6,6,2,3,2,3,5961076cee166f00019591bf,Zl-50U1tsBM
6,6,7,3,6,3,5,3,3,2,3,3,3,5,5,5961076cee166f00019591bf,VIqv8YRVDuY
6,6,6,3,3,3,5,2,5,5,5,5,3,5,3,5961076cee166f00019591bf,pdzliNhlqWI
3,6,3,4,6,3,4,3,3,3,6,2,4,3,4,5fea2e6613597c51a166f24d,VIqv8YRVDuY
6,7,3,5,5,3,5,3,3,5,5,3,2,3,2,5ba11949a896050001d50742,cYszuGaptkk
5,5,5,2,2,7,7,3,5,5,3,2,5,5,5,5ba11949a896050001d50742,HO-GyyhtDnA
2,4,3,4,5,3,3,5,3,2,2,6,4,3,6,5abc11e6e1099600016a3097,2-m3SEGs0kM
6,5,2,3,3,7,6,4,3,3,3,2,5,3,5,5bb0cc738f3bd70001e513e3,Zl-50U1tsBM
6,6,3,2,2,2,5,2,2,2,1,5,3,4,3,5bb0cc738f3bd70001e513e3,VIqv8YRVDuY
4,5,4,5,5,3,3,4,2,2,3,5,4,3,5,5abc11e6e1099600016a3097,pdzliNhlqWI
3,6,4,3,4,5,2,2,3,3,2,2,2,5,3,5d776e218a8d1d00166d36a6,Zl-50U1tsBM
4,4,5,2,2,6,4,4,6,6,4,6,4,3,6,56c65a5a305eaa0005f2a634,HO-GyyhtDnA
2,4,6,6,6,2,4,6,5,5,4,6,3,6,6,56c65a5a305eaa0005f2a634,VIqv8YRVDuY
5,6,6,6,6,6,3,2,3,2,3,4,5,3,6,58670dbe8596530001079a2a,VIqv8YRVDuY
5,6,4,5,6,3,5,6,2,2,5,5,3,3,5,58670dbe8596530001079a2a,pdzliNhlqWI
5,6,3,5,7,3,4,6,2,3,3,3,3,4,5,5e33e9b555c80a3b1a42693d,VIqv8YRVDuY
3,3,2,3,2,5,3,3,5,3,2,2,2,3,3,5e33e9b555c80a3b1a42693d,Zl-50U1tsBM
3,5,3,2,2,2,3,3,5,5,5,3,2,2,4,5b1840dfb6fe3d0001a1073d,cYszuGaptkk
2,3,6,6,7,3,5,3,2,4,3,7,3,6,3,5f4e117dbfcaa83f1b418976,pdzliNhlqWI
7,6,7,5,7,2,6,6,2,2,1,7,3,6,2,5f4e117dbfcaa83f1b418976,2-m3SEGs0kM
1,7,6,2,7,2,6,2,1,1,3,7,4,4,2,5fea2e6613597c51a166f24d,pdzliNhlqWI
2,1,6,3,6,1,6,6,2,2,1,6,3,5,3,616823f4aacb6e9b1cde751c,pdzliNhlqWI
3,3,5,3,3,6,5,4,5,6,6,5,5,6,6,5bb0cc738f3bd70001e513e3,HO-GyyhtDnA
2,2,4,4,4,3,5,3,4,4,3,5,4,3,4,5abc11e6e1099600016a3097,Zl-50U1tsBM
5,6,5,5,6,1,2,7,3,2,2,7,4,5,3,5d776e218a8d1d00166d36a6,2-m3SEGs0kM
2,6,5,4,3,4,5,5,5,4,5,3,3,3,5,58670dbe8596530001079a2a,Zl-50U1tsBM
5,6,7,6,4,2,4,2,2,3,2,6,4,3,5,58670dbe8596530001079a2a,2-m3SEGs0kM
3,7,6,5,6,2,7,1,2,3,2,3,3,5,2,615a17c90199096a5bbe0f48,pdzliNhlqWI
4,4,5,7,3,4,3,5,4,6,4,3,5,4,6,5f4e117dbfcaa83f1b418976,cYszuGaptkk
7,5,2,7,7,2,5,5,1,2,1,1,1,1,7,5efddc1317f23624a7380d36,VIqv8YRVDuY
7,7,7,3,6,1,7,5,1,1,2,5,3,6,5,5bb0cc738f3bd70001e513e3,2-m3SEGs0kM
4,5,5,3,3,5,3,3,3,6,6,6,3,3,6,5bb0cc738f3bd70001e513e3,cYszuGaptkk
2,3,3,6,5,4,5,3,4,3,4,4,4,3,6,5abc11e6e1099600016a3097,cYszuGaptkk
2,2,3,5,6,2,5,3,2,2,2,5,4,4,5,5abc11e6e1099600016a3097,VIqv8YRVDuY
6,6,3,6,7,3,3,3,4,3,5,5,3,4,5,5d776e218a8d1d00166d36a6,cYszuGaptkk
1,6,6,6,6,2,5,5,3,5,3,6,2,6,6,56c65a5a305eaa0005f2a634,2-m3SEGs0kM
2,6,6,5,6,2,4,4,4,3,2,6,3,5,4,56c65a5a305eaa0005f2a634,pdzliNhlqWI
1,5,6,6,3,5,5,2,5,4,3,4,4,3,5,58670dbe8596530001079a2a,HO-GyyhtDnA
3,4,6,6,2,5,5,3,3,5,6,4,4,5,5,58670dbe8596530001079a2a,cYszuGaptkk
3,3,2,3,5,3,3,5,2,3,2,4,3,4,4,5e33e9b555c80a3b1a42693d,cYszuGaptkk
6,3,2,6,2,5,5,2,2,6,2,3,2,2,5,616823f4aacb6e9b1cde751c,cYszuGaptkk
7,7,2,6,6,3,5,2,3,4,5,3,6,3,5,5ba11949a896050001d50742,VIqv8YRVDuY
6,3,5,7,3,5,7,5,2,2,2,5,3,3,3,616823f4aacb6e9b1cde751c,HO-GyyhtDnA
6,6,6,2,3,1,7,3,3,2,2,3,2,6,3,616823f4aacb6e9b1cde751c,VIqv8YRVDuY
7,7,6,7,7,2,7,7,1,1,1,7,2,7,7,616823f4aacb6e9b1cde751c,2-m3SEGs0kM
4,3,3,3,3,4,3,3,4,3,4,4,4,3,4,5abc11e6e1099600016a3097,HO-GyyhtDnA
3,7,5,5,6,2,5,1,1,1,3,5,3,3,1,5bb0cc738f3bd70001e513e3,pdzliNhlqWI
4,5,1,4,6,2,2,6,1,3,5,6,3,3,3,5d776e218a8d1d00166d36a6,VIqv8YRVDuY
2,5,3,2,6,2,3,6,3,2,6,3,3,3,2,5d776e218a8d1d00166d36a6,pdzliNhlqWI
3,2,3,2,2,6,5,2,6,5,4,5,5,3,3,5d776e218a8d1d00166d36a6,HO-GyyhtDnA
2,3,4,4,3,6,4,3,4,5,4,6,4,3,5,56c65a5a305eaa0005f2a634,cYszuGaptkk
5,4,4,2,2,6,3,2,4,5,4,6,3,2,4,56c65a5a305eaa0005f2a634,Zl-50U1tsBM
3,5,2,3,6,6,3,4,2,2,2,6,3,4,3,5e33e9b555c80a3b1a42693d,pdzliNhlqWI
6,4,4,5,6,6,5,4,2,2,2,6,3,6,2,5e33e9b555c80a3b1a42693d,2-m3SEGs0kM
6,3,2,6,2,5,5,2,5,7,3,4,4,3,3,5f4e117dbfcaa83f1b418976,Zl-50U1tsBM
3,6,6,6,7,2,3,3,3,6,5,5,3,6,3,5f4e117dbfcaa83f1b418976,VIqv8YRVDuY
4,5,4,3,3,5,4,3,5,4,2,4,3,3,4,5d692cf290cade0018695dfb,HO-GyyhtDnA
2,3,3,5,1,5,3,1,6,7,2,3,2,2,2,5f4e117dbfcaa83f1b418976,HO-GyyhtDnA
5,2,3,6,2,6,5,1,5,6,1,5,4,2,7,5efddc1317f23624a7380d36,HO-GyyhtDnA
5,5,5,3,5,3,3,3,3,3,2,6,3,4,4,60fd58f89d037589c34f5a18,pdzliNhlqWI
5,5,3,5,2,5,3,1,5,6,1,7,1,1,6,5efddc1317f23624a7380d36,Zl-50U1tsBM
5,5,5,5,6,3,3,2,4,3,2,3,3,5,4,60fd58f89d037589c34f5a18,2-m3SEGs0kM
4,4,4,5,4,4,5,4,4,4,4,5,4,4,5,59e4b3a1896cfc0001921095,cYszuGaptkk
5,7,6,4,7,3,4,5,3,3,3,4,5,5,4,5d692cf290cade0018695dfb,pdzliNhlqWI
7,7,7,7,7,1,7,7,2,2,2,7,3,7,6,60e41e3e8c52dca4b19a3487,2-m3SEGs0kM
4,6,6,7,7,2,5,6,2,2,2,6,3,6,6,60e41e3e8c52dca4b19a3487,pdzliNhlqWI
2,3,4,2,3,5,3,2,5,5,4,4,3,2,4,60fd58f89d037589c34f5a18,Zl-50U1tsBM
3,3,3,2,3,3,3,2,6,4,4,4,4,2,4,60fd58f89d037589c34f5a18,cYszuGaptkk
2,2,4,5,2,6,2,2,3,3,4,4,2,2,2,5810f69c7d3e6d0001df29a5,Zl-50U1tsBM
6,7,5,5,6,5,3,3,2,5,6,3,2,2,3,6128cc858ede754e70976dc9,VIqv8YRVDuY
3,5,2,2,3,4,2,1,2,3,3,2,2,3,1,6128cc858ede754e70976dc9,Zl-50U1tsBM
6,2,1,6,6,4,1,2,4,5,2,6,3,2,5,5be7752e66e3d1000103957f,Zl-50U1tsBM
4,1,4,7,6,6,7,4,5,7,4,6,4,6,5,5be7752e66e3d1000103957f,HO-GyyhtDnA
4,3,2,7,5,3,3,6,2,5,6,4,4,6,5,5a95d013f6dfdd0001ea60be,VIqv8YRVDuY
3,4,6,3,4,2,3,4,3,3,1,5,3,5,5,5a95d013f6dfdd0001ea60be,pdzliNhlqWI
5,6,5,5,5,4,2,3,2,3,5,6,4,4,3,6128cc858ede754e70976dc9,pdzliNhlqWI
4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,5acb5910e1546900019c413a,cYszuGaptkk
4,3,1,5,4,6,4,4,2,3,3,4,3,2,2,60eacff7b678411f44e11a12,Zl-50U1tsBM
3,3,4,3,3,4,3,4,4,3,4,3,4,4,3,5acb5910e1546900019c413a,Zl-50U1tsBM
4,3,4,4,5,3,4,3,5,3,4,3,4,4,4,5acb5910e1546900019c413a,VIqv8YRVDuY
2,2,3,2,3,6,3,3,2,6,3,5,3,4,3,60eacff7b678411f44e11a12,HO-GyyhtDnA
3,2,4,3,3,4,4,3,4,3,3,4,4,4,3,5acb5910e1546900019c413a,HO-GyyhtDnA
5,4,4,4,5,5,3,5,5,5,5,3,3,3,3,5ec7b132b11a172266fd8915,cYszuGaptkk
6,7,5,4,3,2,3,5,3,3,4,6,2,3,3,60eacff7b678411f44e11a12,2-m3SEGs0kM
3,6,5,3,5,3,3,3,3,4,3,4,3,4,4,60fd58f89d037589c34f5a18,VIqv8YRVDuY
5,5,5,4,5,4,5,4,3,3,2,4,4,5,4,5d692cf290cade0018695dfb,cYszuGaptkk
3,2,5,4,2,4,3,2,2,5,4,3,4,3,2,6128cc858ede754e70976dc9,HO-GyyhtDnA
4,3,3,2,3,5,3,2,2,3,3,2,2,3,3,6128cc858ede754e70976dc9,cYszuGaptkk
6,5,6,5,6,3,6,6,2,3,1,6,2,5,2,6128cc858ede754e70976dc9,2-m3SEGs0kM
6,4,6,5,6,4,4,4,3,3,2,4,4,4,4,5acb5910e1546900019c413a,2-m3SEGs0kM
2,3,4,3,3,5,4,2,5,5,3,5,5,4,4,5ec7b132b11a172266fd8915,HO-GyyhtDnA
5,3,5,4,4,4,4,3,4,4,2,4,4,4,4,5acb5910e1546900019c413a,pdzliNhlqWI
6,5,5,5,5,3,3,3,3,3,3,5,5,4,4,5ec7b132b11a172266fd8915,pdzliNhlqWI
5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5ec7b132b11a172266fd8915,VIqv8YRVDuY
5,3,1,3,5,2,4,4,2,2,3,5,3,6,2,60eacff7b678411f44e11a12,VIqv8YRVDuY
7,7,2,6,7,3,2,6,1,1,1,5,1,3,2,5efddc1317f23624a7380d36,2-m3SEGs0kM
2,4,3,2,3,5,5,3,3,3,2,5,3,4,4,60e41e3e8c52dca4b19a3487,Zl-50U1tsBM
3,3,3,2,2,5,4,2,6,5,4,4,4,2,4,60fd58f89d037589c34f5a18,HO-GyyhtDnA
4,6,4,3,3,5,4,3,3,3,1,4,3,3,3,5d692cf290cade0018695dfb,Zl-50U1tsBM
3,4,5,5,7,3,3,4,4,3,3,4,4,5,4,5d692cf290cade0018695dfb,VIqv8YRVDuY
6,2,3,6,3,5,6,3,5,6,1,7,2,3,3,5efddc1317f23624a7380d36,cYszuGaptkk
7,6,7,4,6,2,5,5,3,3,2,4,4,5,4,5d692cf290cade0018695dfb,2-m3SEGs0kM
5,4,1,2,3,2,4,5,3,3,3,5,3,3,3,60eacff7b678411f44e11a12,pdzliNhlqWI
5,4,5,5,5,4,4,4,3,3,3,5,5,5,5,5ec7b132b11a172266fd8915,2-m3SEGs0kM
2,3,5,3,3,5,3,3,3,3,3,5,5,3,3,5ec7b132b11a172266fd8915,Zl-50U1tsBM
2,3,5,6,4,4,3,3,3,4,2,4,3,2,2,60eacff7b678411f44e11a12,cYszuGaptkk
4,4,4,4,4,3,5,4,3,4,5,5,4,5,5,59e4b3a1896cfc0001921095,Zl-50U1tsBM
5,3,2,5,4,4,5,5,3,5,4,5,3,4,5,5810f69c7d3e6d0001df29a5,cYszuGaptkk
6,1,3,7,6,3,4,6,3,6,3,4,5,3,6,5be7752e66e3d1000103957f,cYszuGaptkk
6,5,5,4,1,6,3,1,3,3,4,4,3,2,3,5810f69c7d3e6d0001df29a5,HO-GyyhtDnA
7,6,7,7,7,1,7,7,1,1,1,6,3,7,5,5be7752e66e3d1000103957f,2-m3SEGs0kM
6,3,1,6,4,2,5,4,5,6,4,3,4,2,6,5be7752e66e3d1000103957f,VIqv8YRVDuY
2,3,3,2,2,6,3,2,6,5,4,2,3,2,4,5e33e9b555c80a3b1a42693d,HO-GyyhtDnA
7,7,3,7,7,5,6,6,1,5,1,6,5,3,2,5efddc1317f23624a7380d36,pdzliNhlqWI
1,3,3,2,2,6,4,3,5,5,3,6,4,2,3,60e41e3e8c52dca4b19a3487,HO-GyyhtDnA
2,3,4,3,5,2,3,3,2,2,1,3,1,4,5,60e76a1d107aa8d3ccd3e37b,pdzliNhlqWI
6,6,5,7,7,6,4,3,3,2,2,5,3,7,5,5b1840dfb6fe3d0001a1073d,2-m3SEGs0kM
2,3,3,1,1,4,3,2,6,5,4,3,3,1,4,5b1840dfb6fe3d0001a1073d,HO-GyyhtDnA
5,3,5,5,3,6,3,3,3,6,6,5,5,3,5,5c5cad3e4ee81200018eafe2,Zl-50U1tsBM
6,6,3,5,6,5,3,4,6,6,5,3,3,5,6,5c5cad3e4ee81200018eafe2,VIqv8YRVDuY
2,2,3,5,3,5,3,2,6,4,5,3,2,3,5,5e979756281ba326b104d3e8,cYszuGaptkk
4,6,3,4,4,4,5,5,4,3,3,5,2,3,4,60e41e3e8c52dca4b19a3487,cYszuGaptkk
2,7,3,6,7,1,5,6,4,3,2,6,3,6,6,60e41e3e8c52dca4b19a3487,VIqv8YRVDuY
3,6,6,5,6,6,6,6,2,2,2,3,3,3,1,5eb463628b63a22bad15771c,2-m3SEGs0kM
5,6,3,5,5,3,5,2,2,2,2,6,5,3,3,5eb463628b63a22bad15771c,pdzliNhlqWI
6,6,5,6,6,4,2,2,2,2,3,2,1,4,2,573dbfc9cc30e7000dc57410,2-m3SEGs0kM
3,6,5,6,6,2,5,2,5,5,4,2,5,3,4,5eb463628b63a22bad15771c,VIqv8YRVDuY
6,6,6,7,5,2,3,6,2,2,3,6,4,6,6,60ed501279c68ea1a313d0aa,2-m3SEGs0kM
2,3,2,1,1,6,6,3,5,6,4,3,3,3,3,5eb463628b63a22bad15771c,Zl-50U1tsBM
6,6,2,3,6,4,2,2,2,2,4,2,2,4,2,573dbfc9cc30e7000dc57410,VIqv8YRVDuY
2,4,5,2,5,3,3,2,3,2,3,3,2,4,2,573dbfc9cc30e7000dc57410,pdzliNhlqWI
1,3,5,1,1,7,7,2,3,4,3,6,2,1,3,5f0cfeef098f1e53ff201909,HO-GyyhtDnA
2,3,5,5,5,4,5,3,3,4,2,4,3,5,4,5be7752e66e3d1000103957f,pdzliNhlqWI
2,6,3,3,5,6,4,3,3,5,5,3,3,5,4,5b1840dfb6fe3d0001a1073d,VIqv8YRVDuY
6,6,6,5,6,6,7,3,3,2,5,6,6,5,3,5c5cad3e4ee81200018eafe2,2-m3SEGs0kM
3,2,5,5,4,5,6,5,7,6,6,5,6,5,7,5c5cad3e4ee81200018eafe2,cYszuGaptkk
6,6,6,7,7,2,5,4,2,2,2,6,5,5,2,5e979756281ba326b104d3e8,pdzliNhlqWI
6,6,5,6,7,6,6,3,3,3,6,5,3,4,3,5c5cad3e4ee81200018eafe2,pdzliNhlqWI
5,6,2,6,7,2,2,6,1,1,3,2,4,3,5,5e979756281ba326b104d3e8,VIqv8YRVDuY
5,6,6,6,7,1,6,5,3,1,1,5,4,5,2,5e979756281ba326b104d3e8,2-m3SEGs0kM
2,1,7,4,3,5,7,4,7,7,4,3,4,4,4,5ea1950819664f04542a50bf,HO-GyyhtDnA
4,1,7,6,5,4,4,3,3,3,4,4,4,4,3,5ea1950819664f04542a50bf,cYszuGaptkk
5,7,7,6,7,3,7,4,3,4,4,5,4,4,3,5ea1950819664f04542a50bf,2-m3SEGs0kM
4,7,7,6,7,2,4,2,4,3,4,6,4,5,2,5ea1950819664f04542a50bf,pdzliNhlqWI
2,4,5,2,2,5,4,4,5,5,4,4,2,4,4,573dbfc9cc30e7000dc57410,HO-GyyhtDnA
2,3,5,3,5,3,4,3,4,4,4,5,2,3,3,573dbfc9cc30e7000dc57410,cYszuGaptkk
2,4,3,3,3,3,2,1,1,1,2,3,3,3,1,5f033543945c554f816f6ad7,Zl-50U1tsBM
1,6,5,1,1,6,6,1,3,2,1,6,1,1,3,5f0cfeef098f1e53ff201909,Zl-50U1tsBM
6,6,2,5,5,2,4,5,2,3,3,5,3,3,3,5f033543945c554f816f6ad7,VIqv8YRVDuY
6,2,3,3,4,6,5,3,4,3,4,5,4,5,4,60ed501279c68ea1a313d0aa,Zl-50U1tsBM
2,7,6,5,6,6,5,2,2,2,3,3,3,5,2,5b1840dfb6fe3d0001a1073d,pdzliNhlqWI
3,5,2,2,2,5,4,2,3,5,4,3,3,2,3,5b1840dfb6fe3d0001a1073d,Zl-50U1tsBM
3,1,3,3,2,6,5,5,7,7,5,4,3,3,6,5c5cad3e4ee81200018eafe2,HO-GyyhtDnA
1,2,5,3,2,3,6,1,6,6,3,6,3,3,4,5e979756281ba326b104d3e8,HO-GyyhtDnA
4,1,2,2,1,6,2,2,6,3,3,3,2,1,3,5e979756281ba326b104d3e8,Zl-50U1tsBM
3,3,6,5,5,3,3,4,3,3,4,5,4,5,3,60ed501279c68ea1a313d0aa,pdzliNhlqWI
5,3,3,4,3,6,5,4,5,5,4,3,4,3,3,60ed501279c68ea1a313d0aa,HO-GyyhtDnA
6,6,2,2,3,4,3,2,2,2,4,2,2,4,2,573dbfc9cc30e7000dc57410,Zl-50U1tsBM
