Electric/Acoustic,Distorted/Clear,Many Instruments/Few Instruments,Loud/Soft,Heavy/Light,High pitch/Low pitch,Wide pitch variation/Narrow pitch variation,Punchy/Smooth,Harmonious/Disharmonious,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Dense/Sparse,Strong beat/Weak beat,prolific_id,stimulus_id
1,3,6,3,1,6,5,2,3,3,2,6,2,2,2,5f4e117dbfcaa83f1b418976,rKe2vkFIUbY
3,3,5,5,5,2,4,5,3,3,3,3,3,6,5,5d4d9ea8c088850019ec5b32,SXkaG2VNqbE
3,5,3,3,5,3,3,4,2,2,2,6,3,4,4,60fd58f89d037589c34f5a18,n1YdT9RHvwU
5,6,7,6,6,4,6,6,5,5,3,7,4,6,6,60e41e3e8c52dca4b19a3487,_R2heFBQC_8
4,3,4,2,4,3,3,3,3,3,3,4,4,3,4,5d692cf290cade0018695dfb,27vHKP9QsqU
2,5,5,1,6,4,5,3,2,3,2,7,2,4,2,5f4e117dbfcaa83f1b418976,33BwTrRpbR0
2,6,3,3,3,3,5,2,3,3,2,2,2,3,2,5d4d9ea8c088850019ec5b32,xNGvheoGSrE
6,3,5,7,7,4,6,7,2,1,1,6,1,3,1,5efddc1317f23624a7380d36,EJv6cvvJshU
5,4,5,4,6,3,4,5,2,2,3,6,2,6,2,60ed501279c68ea1a313d0aa,Lt5lr8mebNY
5,6,3,2,4,3,4,4,6,6,4,4,3,4,4,60fd58f89d037589c34f5a18,5fxq9sCyMqM
3,3,6,5,5,5,5,3,5,5,3,5,5,5,5,5d4d9ea8c088850019ec5b32,qMYgXfbpM3E
3,5,6,6,6,4,7,3,2,4,3,7,2,5,3,5f4e117dbfcaa83f1b418976,9cy0NymlDV0
2,6,2,4,3,4,2,3,3,3,3,3,4,3,3,5d692cf290cade0018695dfb,Dvcp5sr5AcA
1,3,7,3,3,6,7,3,4,4,3,5,5,3,3,60e41e3e8c52dca4b19a3487,S8Sob8gzlUg
2,3,5,5,5,5,5,5,3,5,3,5,5,5,5,5d4d9ea8c088850019ec5b32,kEszobB-abk
2,3,5,5,5,5,5,5,3,5,3,5,5,5,5,5d4d9ea8c088850019ec5b32,B3O1NwkOOe4
6,3,2,7,6,4,2,3,2,5,4,7,2,2,4,5f4e117dbfcaa83f1b418976,fCeIH4at49g
4,5,4,3,4,4,3,4,6,5,4,4,4,5,4,60fd58f89d037589c34f5a18,uL3HLM6cWCE
3,3,3,3,4,4,3,3,4,4,2,4,4,2,4,5d692cf290cade0018695dfb,tNru1d6XMuY
2,3,2,2,1,5,4,3,6,5,3,4,3,3,3,60ed501279c68ea1a313d0aa,BohuEtYqfOA
1,3,2,2,3,4,3,2,2,2,5,3,2,2,2,60e41e3e8c52dca4b19a3487,1svuTm2KSiw
2,6,5,2,3,3,3,1,2,2,3,3,2,3,2,5d4d9ea8c088850019ec5b32,PN1BbPGS_RQ
6,3,1,6,5,5,5,3,6,7,6,3,4,3,7,5efddc1317f23624a7380d36,4ih5OAZKZQA
6,6,3,4,5,4,7,3,1,2,1,7,2,3,3,5f4e117dbfcaa83f1b418976,EjxILHpT7I8
4,6,4,3,4,4,3,4,3,3,2,4,4,3,4,5d692cf290cade0018695dfb,tqvV2uFPCfs
2,3,3,2,2,4,5,1,3,5,3,7,5,5,1,5f4e117dbfcaa83f1b418976,mkap8fCTUKs
2,6,3,2,5,3,5,2,3,2,2,3,2,3,2,5d4d9ea8c088850019ec5b32,vB9IIv6xHBI
2,3,3,3,3,5,6,4,3,4,5,6,4,5,4,5ebd495e39fb6f017b95054a,Zl-50U1tsBM
2,2,5,2,2,4,5,2,5,5,1,5,1,3,1,5c4afb7234ee9300011cbbfc,gZwHQ9CGyJY
3,7,7,2,7,1,6,2,5,5,5,7,5,7,5,612b5a2c55286e4cf74a63ee,VIqv8YRVDuY
2,2,5,6,6,3,5,2,5,2,6,6,6,6,6,5961076cee166f00019591bf,LVmmGDCgDu8
1,7,6,4,6,2,5,2,2,1,3,2,3,4,2,5fea2e6613597c51a166f24d,mae-_KQhQ60
3,7,6,3,5,3,6,3,3,3,2,7,2,3,2,611a634c7e0e602c9a6b3ad1,RKhuCkwN-HQ
6,6,7,5,5,3,5,2,4,4,5,6,6,2,6,5961076cee166f00019591bf,1svuTm2KSiw
3,5,3,3,3,5,3,2,3,3,3,3,3,3,2,5d4d9ea8c088850019ec5b32,Zl-50U1tsBM
3,5,3,3,3,2,5,3,3,3,2,6,2,3,2,611a634c7e0e602c9a6b3ad1,pBxyBLjr7sM
1,3,6,2,3,5,2,2,3,2,1,3,3,3,1,5fea2e6613597c51a166f24d,L_k7TXQ2Tmw
6,7,6,6,7,5,6,7,2,1,3,6,6,5,6,5d776e218a8d1d00166d36a6,B3koQlnaEL8
5,2,6,2,3,3,5,2,7,7,3,2,3,3,7,616823f4aacb6e9b1cde751c,9h4cr4C1rhc
5,5,3,5,5,3,3,5,5,5,5,3,5,3,5,5f29ed73209c1b1a178602e3,VIqv8YRVDuY
5,6,6,2,6,3,5,2,2,2,2,6,6,6,1,5961076cee166f00019591bf,s7Bws_0BJxs
4,3,5,6,5,5,5,5,4,3,3,4,5,6,6,5bb0cc738f3bd70001e513e3,9IDLZyqx-60
7,7,7,6,6,2,5,3,3,2,2,7,3,6,4,6284049591dc2c6570e93482,2-m3SEGs0kM
2,3,3,2,2,5,4,1,3,3,5,7,3,3,1,5fea2e6613597c51a166f24d,s6YcdEEF2H4
4,7,7,4,6,3,6,4,6,6,3,6,2,6,6,5961076cee166f00019591bf,DPDwNEZJNJY
4,3,5,5,3,4,4,4,3,3,3,6,3,5,6,611a634c7e0e602c9a6b3ad1,HO-GyyhtDnA
3,3,3,2,2,5,3,3,5,3,3,2,2,2,2,6284049591dc2c6570e93482,Zl-50U1tsBM
5,6,1,3,3,6,6,4,7,7,1,7,3,1,1,5beab62b2bb2960001c9b288,Zl-50U1tsBM
3,5,3,4,3,5,5,4,3,3,3,4,3,3,4,5abc11e6e1099600016a3097,Qrt4cA5Te_Y
2,3,2,2,2,5,6,2,5,6,3,3,2,3,2,5fea2e6613597c51a166f24d,wWt38u3ikbQ
5,4,3,3,4,5,4,3,4,5,4,5,4,2,3,6284049591dc2c6570e93482,cYszuGaptkk
5,5,6,6,6,2,3,3,2,2,3,5,3,3,3,611a634c7e0e602c9a6b3ad1,VIqv8YRVDuY
3,6,7,3,6,7,6,1,1,1,2,5,5,6,3,5ba11949a896050001d50742,bpKUFzL1qFM
6,6,6,6,6,2,6,6,2,2,3,3,3,3,5,5f29ed73209c1b1a178602e3,pdzliNhlqWI
5,6,6,6,6,2,6,6,4,3,3,6,6,4,4,5961076cee166f00019591bf,oXkPfK4qEHQ
2,1,7,3,5,4,6,2,2,2,2,2,3,5,3,5961076cee166f00019591bf,-SEKfzdaIK0
6,5,2,3,3,4,3,2,2,3,3,5,4,3,3,5fea2e6613597c51a166f24d,Zl-50U1tsBM
1,7,7,6,5,2,3,3,6,7,2,7,5,7,6,5beab62b2bb2960001c9b288,pdzliNhlqWI
2,3,2,3,1,6,5,2,5,5,2,3,2,3,2,5d776e218a8d1d00166d36a6,mMR_LTavLq4
1,3,2,2,6,1,6,3,3,2,2,3,2,2,2,616823f4aacb6e9b1cde751c,n1YdT9RHvwU
4,5,5,5,5,4,6,5,4,6,5,6,5,5,6,5bb0cc738f3bd70001e513e3,9cEyFO2Eqo4
7,6,2,6,6,4,2,6,2,3,2,3,3,5,6,5fc00a11268eb941e7d8b066,VIqv8YRVDuY
3,3,5,2,5,3,2,2,3,2,1,6,2,6,3,5de0803843e90d0fcc462b13,D9QZLIMKEno
6,3,4,5,7,4,5,6,1,1,2,6,5,4,3,5fc00a11268eb941e7d8b066,pdzliNhlqWI
1,5,7,3,2,7,7,1,1,1,1,7,7,7,1,5d432a9dfc19f8001a2964e7,3vqm0DO40gU
6,6,5,5,5,3,3,3,2,3,3,6,3,5,2,57a6891d8eccbc0001f39f89,2-m3SEGs0kM
6,4,5,3,7,4,4,3,4,4,5,7,4,4,4,601969ac51c0bc0556499ddd,Nej7R1969c0
3,1,3,1,1,3,2,3,2,3,5,3,2,2,4,5de0803843e90d0fcc462b13,_mWQG-4Sc2U
4,6,7,4,4,4,4,5,6,6,6,4,4,4,4,601969ac51c0bc0556499ddd,c62P3ERJ3_s
2,6,6,4,4,3,3,4,3,3,3,5,4,5,4,601969ac51c0bc0556499ddd,htMLdB-qYr0
4,4,4,7,7,4,4,4,7,7,4,4,4,7,7,5d432a9dfc19f8001a2964e7,d-jNkcovWPc
3,2,5,3,2,3,3,4,3,3,6,5,3,2,3,5de0803843e90d0fcc462b13,Zl-50U1tsBM
5,6,2,4,7,2,3,5,2,2,7,2,3,2,5,60b7be9f5e3d9290ded3bedf,VIqv8YRVDuY
2,3,7,4,4,3,3,2,4,5,4,6,6,6,6,601969ac51c0bc0556499ddd,AoEBDS1OdQk
3,3,5,4,2,6,6,2,6,6,6,2,3,6,3,5de0803843e90d0fcc462b13,HO-GyyhtDnA
3,7,7,3,4,4,1,4,6,7,7,1,4,2,7,6057810acf80d91784eb5b15,rjCh8YafGhQ
7,6,2,5,2,4,2,4,1,2,4,3,3,2,2,60b7be9f5e3d9290ded3bedf,Zl-50U1tsBM
1,1,1,7,1,1,4,1,7,7,4,4,5,1,7,5d432a9dfc19f8001a2964e7,c3vselA9ELQ
2,2,6,2,3,4,2,2,3,3,3,6,4,5,4,601969ac51c0bc0556499ddd,TjHHKNWKMPE
5,3,3,6,5,4,3,6,3,3,5,2,5,2,4,60b7be9f5e3d9290ded3bedf,cYszuGaptkk
1,7,7,7,6,4,7,7,7,7,7,1,4,7,7,5d432a9dfc19f8001a2964e7,fzl2R57Xsx0
2,3,3,2,3,5,3,2,4,4,3,4,5,4,3,60fd58f89d037589c34f5a18,ixaVqD1Yzls
5,6,3,4,6,4,3,5,2,3,3,6,5,4,4,60fd58f89d037589c34f5a18,eL-YIdxfu3A
3,3,2,3,3,3,3,3,2,2,3,2,2,3,2,5d4d9ea8c088850019ec5b32,VIqv8YRVDuY
1,3,2,2,3,4,2,1,4,3,7,1,3,3,1,5fea2e6613597c51a166f24d,BooeikkiNKw
2,5,6,4,4,4,5,3,4,5,3,5,4,3,4,5ebd495e39fb6f017b95054a,HO-GyyhtDnA
2,6,2,3,3,6,5,2,3,2,2,3,3,3,2,5bb0cc738f3bd70001e513e3,KfDNYin9fDA
2,3,5,3,2,6,7,2,6,7,2,5,3,1,2,608702d7661a76c56f62a02a,HO-GyyhtDnA
6,6,2,4,6,2,5,6,2,2,3,3,3,3,4,60c114f1542c86cb1e3e7c86,2-m3SEGs0kM
5,3,6,6,6,2,2,3,4,7,6,4,3,6,7,6284049591dc2c6570e93482,_3GbX2_IaI8
5,5,5,6,6,2,6,6,3,3,2,6,3,3,4,5abc11e6e1099600016a3097,viov3zTevto
1,2,6,2,2,5,6,2,5,5,1,3,2,3,2,5c4afb7234ee9300011cbbfc,THOQ7SmlwJc
6,7,7,3,6,2,7,6,2,1,2,7,3,7,2,616823f4aacb6e9b1cde751c,AJKBKR6MPO0
2,6,6,3,4,3,2,3,3,3,3,6,3,4,2,611a634c7e0e602c9a6b3ad1,87MVxvFBVqo
1,2,1,1,1,7,6,1,2,5,6,2,5,1,2,616823f4aacb6e9b1cde751c,gcDAsT49EbI
2,7,6,5,5,2,5,2,1,1,3,3,3,2,1,5bb0cc738f3bd70001e513e3,i2-2px8n-64
2,6,6,3,6,2,5,3,3,2,4,5,1,5,2,5fea2e6613597c51a166f24d,mo3JXjRkl54
2,2,4,2,2,5,3,3,5,5,5,6,4,2,3,6284049591dc2c6570e93482,HO-GyyhtDnA
1,5,3,4,6,4,3,3,3,3,3,3,4,4,4,60c114f1542c86cb1e3e7c86,VIqv8YRVDuY
3,5,5,4,4,5,5,5,3,3,3,5,4,5,4,5abc11e6e1099600016a3097,Hkae1vy8HPA
2,5,6,3,3,4,2,3,2,2,3,6,2,5,2,611a634c7e0e602c9a6b3ad1,Zl-50U1tsBM
5,6,6,6,6,2,6,6,3,3,1,6,5,5,3,5961076cee166f00019591bf,K1T7llOr_VQ
7,6,6,3,6,1,6,5,3,2,2,3,2,5,5,616823f4aacb6e9b1cde751c,MbDAn99yLwA
5,6,6,6,6,2,3,3,2,2,1,7,3,5,2,611a634c7e0e602c9a6b3ad1,2-m3SEGs0kM
2,7,5,3,6,2,5,3,2,2,4,3,5,4,3,5fea2e6613597c51a166f24d,tYjBs906Aw8
2,2,6,3,2,6,6,5,3,3,3,3,5,5,4,5961076cee166f00019591bf,-vSutSWNgLU
6,7,1,2,5,3,3,2,2,3,2,2,5,1,2,616823f4aacb6e9b1cde751c,n33_dTKSLTo
6,7,5,3,7,3,4,2,2,1,1,6,3,6,2,5fea2e6613597c51a166f24d,2-m3SEGs0kM
5,5,5,4,5,4,4,3,3,3,2,7,3,5,2,5c4afb7234ee9300011cbbfc,2-m3SEGs0kM
2,3,6,3,3,5,6,3,5,6,3,5,3,4,5,5bb0cc738f3bd70001e513e3,hS3bS7GksVk
6,6,6,7,7,5,5,6,4,3,5,5,6,5,4,5961076cee166f00019591bf,LEmyGcnBMms
3,4,4,6,6,4,3,5,3,3,3,5,5,5,6,5abc11e6e1099600016a3097,SXkaG2VNqbE
5,6,5,6,5,5,5,3,2,2,2,3,5,5,3,5ba11949a896050001d50742,pdzliNhlqWI
6,6,7,5,7,2,6,6,4,3,2,6,3,6,4,5961076cee166f00019591bf,2-m3SEGs0kM
6,6,6,6,6,2,4,3,6,7,7,6,6,6,6,5961076cee166f00019591bf,cYszuGaptkk
3,3,4,5,5,5,3,3,4,4,3,6,5,4,6,5abc11e6e1099600016a3097,zgYKLgKXZjQ
6,4,4,6,4,6,6,2,5,3,6,2,4,4,2,60b7be9f5e3d9290ded3bedf,HO-GyyhtDnA
6,6,6,6,6,3,5,4,4,7,7,7,7,7,7,601969ac51c0bc0556499ddd,XF6lXzF4ltI
2,5,5,2,5,3,2,2,2,2,2,6,4,4,4,601969ac51c0bc0556499ddd,Mmr-i3_1sFc
7,7,7,7,7,4,5,6,2,2,2,4,4,5,4,601969ac51c0bc0556499ddd,V5-Q-DY8WFM
6,5,6,6,6,2,5,3,4,4,5,5,3,4,5,5b82e33f184f45000155f0ba,oRr55oLW8Y8
4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,601969ac51c0bc0556499ddd,j_4_Bw7FbR4
2,2,5,4,3,5,5,2,4,4,6,6,6,6,6,601969ac51c0bc0556499ddd,Zl-50U1tsBM
4,4,4,4,4,4,4,3,4,4,4,6,4,6,4,601969ac51c0bc0556499ddd,cYszuGaptkk
7,1,7,7,7,4,4,3,4,5,7,4,4,7,7,5d432a9dfc19f8001a2964e7,eIUvtChuEs0
3,3,6,2,2,5,6,2,6,7,6,7,4,4,4,5b82e33f184f45000155f0ba,s6K40WoEq78
1,1,1,7,2,4,4,4,7,7,7,4,4,7,7,5d432a9dfc19f8001a2964e7,upsuBoJQ6k4
4,7,6,7,7,4,7,5,3,3,2,6,4,5,6,601969ac51c0bc0556499ddd,2-m3SEGs0kM
7,7,1,2,7,4,7,1,1,1,7,7,4,2,1,5d432a9dfc19f8001a2964e7,pdzliNhlqWI
6,7,7,7,7,2,4,7,1,1,2,4,6,6,7,6057810acf80d91784eb5b15,2g5RT58wvMQ
2,3,3,1,2,4,2,1,1,1,3,3,3,2,5,6057810acf80d91784eb5b15,tUfD12KNGMQ
7,7,2,2,3,5,2,3,1,3,5,3,4,2,6,6057810acf80d91784eb5b15,NLBZzszOhx0
2,3,6,5,5,4,4,3,4,6,4,4,4,3,4,5b82e33f184f45000155f0ba,AsBTxUxT8-I
2,5,3,5,5,4,4,3,4,5,6,2,2,5,4,6057810acf80d91784eb5b15,CcVTEKOG13o
7,5,5,6,6,4,3,6,2,2,3,6,4,5,4,5b82e33f184f45000155f0ba,2-m3SEGs0kM
5,4,5,5,5,4,4,2,3,5,4,4,4,4,3,5b82e33f184f45000155f0ba,pdzliNhlqWI
2,2,4,2,2,6,4,3,7,7,4,4,3,3,6,5b82e33f184f45000155f0ba,HO-GyyhtDnA
4,6,6,6,7,3,3,5,3,5,6,1,3,6,6,6057810acf80d91784eb5b15,VIqv8YRVDuY
3,6,6,5,5,5,4,4,5,5,6,4,6,3,5,5e33e9b555c80a3b1a42693d,ndzo2ZIWfiQ
3,7,2,5,6,3,5,4,3,3,2,6,4,4,4,60e41e3e8c52dca4b19a3487,-KKsNKY4V8k
5,6,6,5,6,4,3,4,3,3,3,4,4,4,4,5d692cf290cade0018695dfb,izuCJwPgG-Q
2,5,4,5,6,5,5,3,3,6,1,7,2,3,1,5f4e117dbfcaa83f1b418976,bpKUFzL1qFM
2,6,4,6,6,3,5,4,4,3,1,7,3,4,3,60e41e3e8c52dca4b19a3487,2J7ZM8U9bw0
1,3,2,2,3,3,6,3,4,3,2,5,2,4,2,5bd0a57f446a8e0001204390,e18J2Z18Na4
2,3,3,2,3,5,5,2,5,3,2,3,2,3,2,5d4d9ea8c088850019ec5b32,RKhuCkwN-HQ
2,4,7,4,6,4,4,6,3,3,4,3,3,6,7,60ed501279c68ea1a313d0aa,2LZjLBipdfI
3,6,5,6,6,4,6,2,5,1,1,7,3,3,2,5f0cfeef098f1e53ff201909,1yH1AS7GGZU
4,5,3,2,5,3,3,2,4,3,2,4,3,4,3,60fd58f89d037589c34f5a18,1eojD029X8E
3,3,4,7,6,4,7,5,4,7,4,7,3,5,2,5f4e117dbfcaa83f1b418976,5PEpjVowR90
2,5,4,6,6,3,3,4,3,3,3,4,4,4,4,5d692cf290cade0018695dfb,yxkQMmtVeG8
1,7,7,7,7,6,4,6,3,1,1,7,6,6,2,60e41e3e8c52dca4b19a3487,FLJARDSdGLM
5,3,5,5,5,5,5,3,5,3,3,3,3,5,3,5d4d9ea8c088850019ec5b32,Y2Skw39jGlQ
2,6,6,4,4,4,4,4,2,2,1,5,6,4,5,5af4cd9c20299700016d1245,76xq8R9cEOI
4,5,3,2,4,3,3,2,6,4,4,4,3,3,4,60fd58f89d037589c34f5a18,LEmyGcnBMms
1,5,5,3,1,6,6,4,6,3,3,6,2,3,3,5f0cfeef098f1e53ff201909,2MFyIarn1mk
3,4,6,2,4,5,4,4,3,3,4,6,3,6,5,60ed501279c68ea1a313d0aa,hrpsvMHAkDI
1,2,4,7,5,3,3,5,6,7,4,3,5,3,6,5f4e117dbfcaa83f1b418976,LnsUJ5qlJi4
3,4,4,5,4,4,3,4,3,3,3,4,4,3,3,5d692cf290cade0018695dfb,LnsUJ5qlJi4
1,3,7,2,2,4,6,3,4,5,3,6,3,4,4,60e41e3e8c52dca4b19a3487,YX2Ozh9Msf0
7,7,3,6,7,1,6,5,3,2,2,6,4,5,5,5f0cfeef098f1e53ff201909,E8GschBoKMA
2,6,3,2,6,3,3,2,2,2,2,6,3,5,3,60fd58f89d037589c34f5a18,WnkUUi5AwQo
1,2,6,5,5,5,2,2,4,7,2,5,3,4,1,5bd0a57f446a8e0001204390,LnsUJ5qlJi4
3,3,5,3,1,4,6,1,4,5,2,7,3,5,1,5f4e117dbfcaa83f1b418976,rBnSfDaDVQI
5,6,5,6,6,4,4,4,3,3,2,4,4,5,4,5d692cf290cade0018695dfb,m2fzOo3-Lq4
3,6,6,6,6,3,5,5,4,3,3,7,5,4,4,60e41e3e8c52dca4b19a3487,8D5akawtCjg
2,6,7,5,3,5,5,2,3,2,1,7,3,2,1,5f0cfeef098f1e53ff201909,oS3DzyBVp1s
1,4,3,7,6,3,5,3,4,6,2,3,2,3,3,5f4e117dbfcaa83f1b418976,oRr55oLW8Y8
5,4,5,5,6,5,4,5,4,3,3,4,5,6,5,60ed501279c68ea1a313d0aa,bkRGPI3N-7k
2,6,3,3,6,2,3,5,2,2,3,6,4,4,4,60fd58f89d037589c34f5a18,lHmmtj8270k
4,5,5,6,6,4,3,7,1,3,4,6,6,6,6,5f0cfeef098f1e53ff201909,3BMd4oMNAFg
2,4,3,3,2,4,3,2,3,3,2,3,2,3,2,5d692cf290cade0018695dfb,Qrt4cA5Te_Y
1,3,5,6,1,6,6,2,4,6,1,7,2,5,1,5f4e117dbfcaa83f1b418976,WYtavoRz-Jc
1,7,2,3,3,3,4,3,4,2,3,3,6,2,4,5af4cd9c20299700016d1245,79j4Qnyb7dg
1,7,6,4,3,4,3,3,3,3,3,5,3,4,3,60e41e3e8c52dca4b19a3487,Mmr-i3_1sFc
3,6,5,3,6,2,3,4,2,2,3,4,3,4,3,60fd58f89d037589c34f5a18,ZNF7nCHCuEo
1,3,5,5,3,4,2,3,3,6,3,2,2,5,3,5bd0a57f446a8e0001204390,zabpEcBueg8
6,6,1,7,7,3,2,7,4,2,2,6,5,3,3,5f4e117dbfcaa83f1b418976,KJSFkldABdY
6,3,7,3,7,1,4,5,3,2,3,5,3,6,3,60ed501279c68ea1a313d0aa,ygXt9OPfzEE
2,6,6,6,6,2,4,4,4,3,3,2,2,6,5,60e41e3e8c52dca4b19a3487,ZGYsE6m0YtY
3,3,5,5,6,3,3,5,3,3,3,6,4,5,6,5fcf5ad1347ca200086dd547,l0DF8slvlls
7,6,6,7,7,2,6,3,2,4,3,6,4,5,5,5f0cfeef098f1e53ff201909,J1jTgT6DVfs
3,6,6,4,5,3,3,4,3,3,3,4,3,4,3,5d692cf290cade0018695dfb,txLhZT3RoNk
3,5,5,4,6,4,3,4,4,6,3,5,4,4,4,60fd58f89d037589c34f5a18,8m1YNv41CKc
6,5,2,6,6,4,2,3,3,6,3,2,3,3,4,5f4e117dbfcaa83f1b418976,Nej7R1969c0
2,6,6,3,6,4,2,2,2,2,3,4,2,2,2,573dbfc9cc30e7000dc57410,v_nZmNvP9J4
3,5,3,4,5,6,4,6,3,4,3,5,5,6,5,60ed501279c68ea1a313d0aa,DOO0-chRLHY
7,7,6,6,7,3,5,7,1,2,3,6,3,2,1,5f4e117dbfcaa83f1b418976,Rk2yWHQjYJI
1,1,7,2,1,6,6,1,3,1,1,6,4,1,1,5f0cfeef098f1e53ff201909,ocMZASGjbhg
3,6,4,4,3,4,3,4,3,3,3,4,3,3,3,5d692cf290cade0018695dfb,IBDL15WTewc
2,3,3,3,4,4,4,3,3,3,6,3,4,4,4,5af4cd9c20299700016d1245,Or8zUkmZGNc
2,3,5,2,3,6,5,2,5,3,2,5,2,2,1,5fcf5ad1347ca200086dd547,xmZqmEXulA4
1,3,5,2,2,5,5,3,3,3,3,6,3,3,2,60e41e3e8c52dca4b19a3487,fzr246eEV-E
2,5,3,2,5,2,3,3,5,5,3,4,3,5,4,60fd58f89d037589c34f5a18,RIotfIo1Blc
1,2,5,3,3,3,6,2,2,3,5,6,3,4,2,5bd0a57f446a8e0001204390,lBdS8UiKTGk
2,6,6,3,5,3,4,3,4,3,3,5,3,3,3,6112c3592c483f115b25d256,4e-j6uyqKxI
2,3,2,5,3,4,5,2,5,6,2,3,3,2,4,5f4e117dbfcaa83f1b418976,nNjnT7tHIwA
3,6,6,3,6,4,2,2,2,2,3,3,2,3,2,573dbfc9cc30e7000dc57410,sbqlihZzH1w
6,7,1,6,6,4,1,4,1,3,3,5,4,5,6,5f0cfeef098f1e53ff201909,8Mm00joqGFs
7,6,2,3,2,4,1,1,1,1,2,3,5,2,3,5f4e117dbfcaa83f1b418976,TjHHKNWKMPE
